source_id;source;source_url
det_1395;Companhia Vale Do Rio Doce (2005) Annual Report 2004, Companhia Vale Do Rio Doce (2005) Annual Report 2004;"http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2004_i.pdf ; http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2004_i.pdf"
det_1396;Companhia Vale Do Rio Doce (2002) Annual Report 2001;http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/F2001i.pdf
det_1397;Vale (2020) Production and Sales 4Q19 and 2019;http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T19_i.pdf
det_1398;Newmont Interactive Analyst center (last updated on 2/21/2020);http://apps.indigotools.com/IR/IAC/?Ticker=NEM&Exchange=NYSE#
det_1399;Newmont Mining Corporation (2016) Regional Operating Statistics 2015;https://www.newmont.com/files/doc_financials/quarterly/2015/q4/Operating-Statistics-Q4-and-FY2015.pdf
det_1400;Newmont Mining Corporation (2012) Regional Operating Statistics 2011;https://www.newmont.com/files/doc_financials/quarterly/2011/q4/NEM-Q4-2011-Regional-Operating-Statistics-02-23-12.pdf
det_1401;Newmont Mining Corporation (2010) Regional Operating Statistics 2009;https://www.newmont.com/files/doc_financials/quarterly/2009/q4/Fourth_Quarter_and_2009_Regional_Operating_Statistics.pdf
det_1402;Newmont Mining Corporation (2009) Regional Operating Statistics 2008;https://www.newmont.com/files/doc_financials/quarterly/2008/q4/RegionalOperatingStatistics2008update.pdf
det_1403;First Quantum Minerals Ltd (2014) Annual Report 2014;http://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2014.pdf
det_1404;First Quantum Minerals Ltd (2016) Annual Report 2016;http://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2016.pdf
det_1405;Kinross Gold (2019) Annual Report 2018;"https://s2.q4cdn.com/496390694/files/doc_financials/annual/2019/2018-Kinross-Annual-Report-Final.pdf; https://s2.q4cdn.com/496390694/files/doc_financials/quarterly_reports/2018/q4/2018-Reserves-and-Resources.pdf"
det_1406;Newmont Mining Corporation (2010) Regional Operating Statistics 2009;https://www.newmont.com/files/doc_financials/quarterly/2011/q4/NEM-Q4-2011-Regional-Operating-Statistics-02-23-12.pdf
det_1407;Barrick Gold Corp. (2019) Mine Statistics Q4 2018;https://barrick.q4cdn.com/788666289/files/quarterly-report/2018/Barrick-Mine-Stats-2018-Q4.pdf
det_1408;Barrick Gold Corp. (2017) Mine Statistics Q4 2016;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2016/q4/Barrick-Mine-Stats-2016-Q4.pdf
det_1409;Barrick Gold Corp. (2015) Mine Statistics Q4 2014;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2014/q4/Barrick-Mine-Stats-2014-Q4.pdf
det_1410;Barrick Gold Corp. (2013) Mine Statistics Q4 2012;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2012/q4/Barrick-Mine-Stats-2012-Q4.pdf
det_1411;Barrick Gold Corp. (2011) Mine Statistics Q4 2010;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2010/q4/Q4-Mine-Stats_v001_r2ecj7.pdf
det_1412;Barrick Gold Corp. (2010) Mine Statistics Q4 2009;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2009/q4/Q4-Mine-Statistics_v001_d03bl5.pdf
det_1413;Barrick Gold Corp. (2009) Mine Statistics Q4 2008;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2008/q4/2008-Q4-Mine-Statistics_v001_n587j4.PDF
det_1414;Barrick Gold Corp. (2007) Mine Statistics Q4 2006;https://barrick.q4cdn.com/788666289/files/doc_financials/quarterly/2006/q4/Barrick-2006-Mine-Statistics_v001_z19j9l.pdf
det_1415;Oceana Gold Corporation Interactive Analyst Center (Last Updated On: 4/6/2020);https://apps.indigotools.com/IR/iac/?ticker=OGC&exchange=TSX#
det_1416;Rio Tinto (2016) Annual Report 2015;https://www.riotinto.com/invest/reports
det_1417;Rio Tinto (2014) Annual Report 2013;https://www.riotinto.com/invest/reports
det_1418;"Rio Tinto (2010) Annual Report 2009 ; Vale (2010) Production Report Q4 2009";"https://www.riotinto.com/invest/reports ; http://www.vale.com/EN/investors/information-market/quarterly-results/QuarterlyResultsDocs/PREPORT4T09i.pdf"
det_1419;Southern Copper Corporation (2017) Annual Report 2016;https://www.sec.gov/Archives/edgar/data/1001838/000104746917001143/a2231031z10-k.htm#dw46203_item_7._management_s_discussio__ite03668
det_1420;Southern Copper Corporation (2014) Annual Report 2013;https://www.sec.gov/Archives/edgar/data/1001838/000110465914014124/a13-26010_110k.htm
det_1421;Southern Copper Corporation (2008) Annual Report 2007;https://www.sec.gov/Archives/edgar/data/1001838/000110465908014154/a08-2675_110k.htm#Item7_ManagementsDiscussionAndAna_211722
det_1422;Southern Peru Copper Corporation (2005) Annual Report 2004;https://www.sec.gov/Archives/edgar/data/1001838/000110465905011512/a05-5161_110k.htm
det_1423;Southern Peru Copper Corporation (2003) Annual Report 2002;https://www.sec.gov/Archives/edgar/data/1001838/000091205702011721/a2074583z10-k.txt
det_1424;Coldcorp Inc. (2017) Annual Report 2016;https://www.newmont.com/files/doc_financials/mda/annual/2016-Annual-Report.pdf
det_1425;Teck Cominco Limited (2008) Annual Report 2007;https://www.teck.com/media/Investors-2007_Annual_Report_T5.1.1.pdf
det_1426;Teck Cominco Limited (2005) Annual Report 2004;https://www.teck.com/media/Investors-2004_Annual_Report_T5.1.1.pdf
