source;source_country_id;alphanumiso
IEA_Name;Mongolia;MNG496
IEA_Name;Malta;MLT470
IEA_Name;Mauritius;MUS480
IEA_Name;Mexico;MEX484
IEA_Name;Malaysia;MYS458
IEA_Name;Mozambique;MOZ508
IEA_Name;Namibia;NAM516
IEA_Name;Niger;NER562
IEA_Name;Nigeria;NGA566
IEA_Name;Nicaragua;NIC558
IEA_Name;Netherlands;NLD528
IEA_Name;Norway;NOR578
IEA_Name;Nepal;NPL524
IEA_Name;New Zealand;NZL554
IEA_Name;Oman;OMN512
IEA_Name;Panama;PAN591
IEA_Name;Peru;PER604
IEA_Name;Philippines;PHL608
IEA_Name;Pakistan;PAK586
IEA_Name;Poland;POL616
IEA_Name;Portugal;PRT620
IEA_Name;Paraguay;PRY600
IEA_Name;Qatar;QAT634
IEA_Name;Romania;ROU642
IEA_Name;Serbia;SRB688
IEA_Name;Russian Federation;RUS643
IEA_Name;Saudi Arabia;SAU682
IEA_Name;Sudan;SDN729
IEA_Name;Sweden;SWE752
IEA_Name;Singapore;SGP702
IEA_Name;Slovenia;SVN705
IEA_Name;Slovak Republic;SVK703
IEA_Name;Senegal;SEN686
IEA_Name;Suriname;SUR740
IEA_Name;South Sudan;SSD728
IEA_Name;Former Soviet Union (If no detail);SUN810
IEA_Name;El Salvador;SLV222
IEA_Name;Syrian Arab Republic;SYR760
IEA_Name;Togo;TGO768
IEA_Name;Thailand;THA764
IEA_Name;Tajikistan;TJK762
IEA_Name;Turkmenistan;TKM795
IEA_Name;Tunisia;TUN788
IEA_Name;Turkey;TUR792
IEA_Name;Trinidad and Tobago;TTO780
IEA_Name;Chinese Taipei;TWN158
IEA_Name;Tanzania;TZA834
IEA_Name;Ukraine;UKR804
IEA_Name;United States;USA840
IEA_Name;Uruguay;URY858
IEA_Name;Uzbekistan;UZB860
IEA_Name;Venezuela;VEN862
IEA_Name;Viet Nam;VNM704
IEA_Name;Yemen;YEM887
IEA_Name;Former Yugoslavia (If no detail);YUG890
IEA_Name;South Africa;ZAF710
IEA_Name;Zambia;ZMB894
IEA_Name;Zimbabwe;ZWE716
IEA_Name;Cura莽ao;CUW531
IEA_Name;Hong Kong (China);HKG344
IEA_Name;Montenegro;MNE499
IEA_Name;Kosovo;UNK000
IEA_Code;ARE;ARE784
IEA_Code;ALB;ALB008
IEA_Code;ARM;ARM051
IEA_Code;AGO;AGO024
IEA_Code;ARG;ARG032
IEA_Code;AUT;AUT040
IEA_Code;AUS;AUS036
IEA_Code;AZE;AZE031
IEA_Code;BIH;BIH070
IEA_Code;BGD;BGD050
IEA_Code;BEL;BEL056
IEA_Code;BGR;BGR100
IEA_Code;BHR;BHR048
IEA_Code;BEN;BEN204
IEA_Code;BRN;BRN096
IEA_Code;BOL;BOL068
IEA_Code;BRA;BRA076
IEA_Code;BWA;BWA072
IEA_Code;BLR;BLR112
IEA_Code;CAN;CAN124
IEA_Code;COD;COD180
IEA_Code;COG;COG178
IEA_Code;CHE;CHE756
IEA_Code;CIV;CIV384
IEA_Code;CHL;CHL152
IEA_Code;CMR;CMR120
IEA_Code;CHN;CHN156
IEA_Code;COL;COL170
IEA_Code;CRI;CRI188
IEA_Code;CUB;CUB192
IEA_Code;CYP;CYP196
IEA_Code;CZE;CZE203
IEA_Code;DEU;DEU276
IEA_Code;DNK;DNK208
IEA_Code;DOM;DOM214
IEA_Code;DZA;DZA012
IEA_Code;ECU;ECU218
IEA_Code;EST;EST233
IEA_Code;EGY;EGY818
IEA_Code;EQGUINEA;GNQ226
IEA_Code;ERI;ERI232
IEA_Code;ESP;ESP724
IEA_Code;ETH;ETH231
IEA_Code;FIN;FIN246
IEA_Code;FRA;FRA250
IEA_Code;GAB;GAB266
IEA_Code;GBR;GBR826
IEA_Code;GEO;GEO268
IEA_Code;GHA;GHA288
IEA_Code;GIB;GIB292
IEA_Code;GRC;GRC300
IEA_Code;GTM;GTM320
IEA_Code;HND;HND340
IEA_Code;HRV;HRV191
IEA_Code;HTI;HTI332
IEA_Code;HUN;HUN348
IEA_Code;IDN;IDN360
IEA_Code;IRL;IRL372
IEA_Code;ISR;ISR376
IEA_Code;IND;IND356
IEA_Code;IRQ;IRQ368
IEA_Code;IRN;IRN364
IEA_Code;ISL;ISL352
IEA_Code;ITA;ITA380
IEA_Code;JAM;JAM388
IEA_Code;JOR;JOR400
IEA_Code;JPN;JPN392
IEA_Code;KEN;KEN404
IEA_Code;KGZ;KGZ417
IEA_Code;KHM;KHM116
IEA_Code;PRK;PRK408
IEA_Code;KOR;KOR410
IEA_Code;KWT;KWT414
IEA_Code;KAZ;KAZ398
IEA_Code;LAO;LAO418
IEA_Code;LBN;LBN422
IEA_Code;LKA;LKA144
IEA_Code;LTU;LTU440
IEA_Code;LVA;LVA428
IEA_Code;LUX;LUX442
IEA_Code;LBY;LBY434
IEA_Code;MAR;MAR504
IEA_Code;MDA;MDA498
IEA_Code;NORTHMACED;MKD807
IEA_Code;MMR;MMR104
IEA_Code;MNG;MNG496
IEA_Code;MLT;MLT470
IEA_Code;MAURITIUS;MUS480
IEA_Code;MEX;MEX484
IEA_Code;MYS;MYS458
IEA_Code;MOZ;MOZ508
IEA_Code;NAM;NAM516
IEA_Code;NER;NER562
IEA_Code;NGA;NGA566
IEA_Code;NIC;NIC558
IEA_Code;NLD;NLD528
IEA_Code;NOR;NOR578
IEA_Code;NPL;NPL524
IEA_Code;NZL;NZL554
IEA_Code;OMN;OMN512
IEA_Code;PAN;PAN591
IEA_Code;PER;PER604
IEA_Code;PHL;PHL608
IEA_Code;PAK;PAK586
IEA_Code;POL;POL616
IEA_Code;PRT;PRT620
IEA_Code;PRY;PRY600
IEA_Code;QAT;QAT634
IEA_Code;ROU;ROU642
IEA_Code;SRB;SRB688
IEA_Code;RUS;RUS643
IEA_Code;SAU;SAU682
IEA_Code;SDN;SDN729
IEA_Code;SWE;SWE752
IEA_Code;SGP;SGP702
IEA_Code;SVN;SVN705
IEA_Code;SVK;SVK703
IEA_Code;SEN;SEN686
