mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
Cozamin;NA;Con.Zn;NA;2011;NA
Cozamin;NA;Con.Pb;NA;2011;NA
Cozamin;NA;Con.Cu;NA;2010;NA
Cozamin;NA;Con.Zn;NA;2010;NA
Cozamin;NA;Con.Pb;NA;2010;NA
Cozamin;NA;Con.Cu;NA;2009;NA
Cozamin;NA;Con.Zn;NA;2009;NA
Cozamin;NA;Con.Pb;NA;2009;NA
Cozamin;NA;Con.Cu;NA;2008;NA
Cozamin;NA;Con.Zn;NA;2008;NA
Cozamin;NA;Con.Pb;NA;2008;NA
Cracow;NA;NA;NA;2007;NA
Cracow;NA;NA;NA;2006;NA
Cracow;NA;NA;NA;2005;NA
Cripple Creek & Victor;NA;NA;Open pit;2019;NA
Cripple Creek & Victor;NA;NA;Open pit;2018;NA
Cripple Creek & Victor;NA;NA;Open pit;2017;NA
Cripple Creek & Victor;NA;NA;Open pit;2016;NA
Cuajone;NA;O.bulk;Open pit;2019;NA
Cuajone;NA;O.bulk;Open pit;2018;NA
Cuajone;NA;O.bulk;Open pit;2017;NA
Cuajone;NA;O.bulk;Open pit;2016;NA
Cuajone;NA;O.bulk;Open pit;2015;NA
Cuajone;NA;O.bulk;Open pit;2014;NA
Cuajone;NA;O.bulk;Open pit;2013;NA
Cuajone;NA;O.bulk;Open pit;2012;NA
Cuajone;NA;O.bulk;Open pit;2011;NA
Cuajone;NA;O.bulk;Open pit;2010;NA
Cuajone;NA;O.bulk;Open pit;2009;NA
Cuajone;NA;O.bulk;Open pit;2008;NA
Cuajone;NA;O.bulk;Open pit;2007;NA
Cuajone;NA;O.bulk;Open pit;2006;NA
Cuajone;NA;O.bulk;Open pit;2005;NA
Cuajone;NA;Con.Cu;Open pit;2004;NA
Cuajone;NA;Con.Cu;Open pit;2003;NA
Cuajone;NA;Con.Cu;Open pit;2002;NA
Daxin;NA;O.Mn;Open pit;2019;NA
Daxin;NA;O.Mn;Underground;2019;NA
Daxin;NA;O.Mn;Open pit;2018;NA
Daxin;NA;O.Mn;Underground;2018;NA
Daxin;NA;O.Mn;Open pit;2017;NA
Daxin;NA;O.Mn;Underground;2017;NA
Daxin;NA;O.Mn;Open pit;2016;NA
Daxin;NA;O.Mn;Underground;2016;NA
Daxin;NA;O.Mn;Open pit;2015;NA
Daxin;NA;O.Mn;Underground;2015;NA
Daxin;NA;O.Mn;Open pit;2014;NA
Daxin;NA;O.Mn;Underground;2014;NA
Daxin;NA;O.Mn;Open pit;2013;NA
Daxin;NA;O.Mn;Underground;2013;NA
Daxin;NA;O.Mn;Open pit;2012;NA
Daxin;NA;O.Mn;Underground;2012;NA
DeGrussa;NA;O.bulk;NA;2020;NA
DeGrussa;NA;O.bulk;NA;2019;NA
DeGrussa;NA;O.bulk;NA;2018;NA
