mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Justice Energy;;;;;;Job 38;Owls Nest Job #8;4
Justice Energy;;;;;;Job 38;Job #8;4
Justice Energy;;;;;;Job 38;A23 Job 58;4
Kanawha Eagle;;;Guyan;Guyan Mine;1;;;
Kayenta;Kayenta Mine;1;;;;;;
Kemmerer;Kemmerer Mine;1;;;;;;
Keystone;Keystone East;2;;;;Mine 58;Mine #8;3
Keystone;Keystone East;2;;;;Mine 58;Mine 78;3
Keystone;Keystone East;2;;;;Mine 58;Mine 5;3
Keystone;Keystone East;2;;;;Mine 65;Mine #5;4
Keystone;Keystone East;2;;;;Mine 65;Gray's Excavating Inc Mine #5;4
Keystone;Keystone East;2;;;;Mine 65;Deep Mine 25;4
Keystone;Keystone East;2;;;;Mine 65;Mine 5;4
Keystone;S11 Keystone Surface Mine;2;;;;Mine 58;Mine #8;3
Keystone;S11 Keystone Surface Mine;2;;;;Mine 58;Mine 78;3
Keystone;S11 Keystone Surface Mine;2;;;;Mine 58;Mine 5;3
Keystone;S11 Keystone Surface Mine;2;;;;Mine 65;Mine #5;4
Keystone;S11 Keystone Surface Mine;2;;;;Mine 65;Gray's Excavating Inc Mine #5;4
Keystone;S11 Keystone Surface Mine;2;;;;Mine 65;Deep Mine 25;4
Keystone;S11 Keystone Surface Mine;2;;;;Mine 65;Mine 5;4
Knott County mines;Knott County Mine;1;Calvary;Calvary No 81;3;;;
Knott County mines;Knott County Mine;1;Calvary;Calvary No. 80;3;;;
Knott County mines;Knott County Mine;1;Calvary;Calvary Mine;3;;;
Leer;Mary Lee # 1 Mine;27;Tygart Valley;;;;;
Leer;K-Lee Processing Inc;27;Tygart Valley;;;;;
Leer;Deerlick Mine;27;Tygart Valley;;;;;
Leer;Deerlick West Mine;27;Tygart Valley;;;;;
Leer;Deer Run Mine;27;Tygart Valley;;;;;
Leer;East Volunteer;27;Tygart Valley;;;;;
Leer;Deer Creek Development;27;Tygart Valley;;;;;
Leer;Van Lear;27;Tygart Valley;;;;;
Leer;Lee Ranch Coal Mine;27;Tygart Valley;;;;;
Leer;Mountaineer #1;27;Tygart Valley;;;;;
Leer;Pioneer #1;27;Tygart Valley;;;;;
Leer;Lee Coal Contracting Inc;27;Tygart Valley;;;;;
Leer;Lehr Stripping Operation;27;Tygart Valley;;;;;
Leer;Deer Creek Mine;27;Tygart Valley;;;;;
Leer;Leer South Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Alma A Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Surface Mine No 1;27;Tygart Valley;;;;;
Leer;Mountaineer Auger Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Ii Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Pocahontas No 1 Mi;27;Tygart Valley;;;;;
Leer;Leer Mine;27;Tygart Valley;;;;;
Leer;Parker Peerless Mine;27;Tygart Valley;;;;;
Leer;Mountaineer Pocahontas No 3 Mi;27;Tygart Valley;;;;;
Leer;Winchester Peerless Rachel Min;27;Tygart Valley;;;;;
Leer;Hunter Peerless Mine;27;Tygart Valley;;;;;
Leer;Peerless No. 1 Surface Mine;27;Tygart Valley;;;;;
Leer South/Sentinel;;;;;;Leer South;Leer South Mine;1
Liberty;Liberty;1;;;;;;
Lone Mountain;Jackson Mountain;2;;;;;;
Lone Mountain;Cove Mountain Deep Mine;2;;;;;;
Mahoning Valley;Mahoning Valley No 36;1;;;;;;
Marshall;Marshall Mine;2;Caddo Creek Resources;;;;;
Marshall;Marshall County Mine;2;Caddo Creek Resources;;;;;
Meigs;Meigs #31 Mine;2;;;;;;
Meigs;Meigs #2 Mine;2;;;;;;
Mettiki Complex;;;Mountain View;Buck Mountain Vein Slope;3;Mountain View;Buck Mountain Vein Slope;3
Mettiki Complex;;;Mountain View;Buck Mountain Vein Slope;3;Mountain View;Buck Mountain Vein;3
Mettiki Complex;;;Mountain View;Buck Mountain Vein Slope;3;Mountain View;Mountain View Mine;3
