country;alphanumiso;state;region;province;district;sector;location_municipality;GID_0;GID_1;GID_2;GID_3;GID_4
United States;USA840;Ohio;NA;NA;Harrison county;NA;Cadiz;USA;USA.36_1;USA.36.34_1;NA;NA
United States;USA840;Ohio;NA;NA;Morgan County;NA;NA;USA;USA.36_1;USA.36.59_1;NA;NA
United States;USA840;Ohio;NA;NA;Muskingum County;NA;NA;USA;USA.36_1;USA.36.61_1;NA;NA
United States;USA840;Ohio;NA;NA;Noble County;NA;NA;USA;USA.36_1;USA.36.62_1;NA;NA
United States;USA840;Ohio;NA;NA;Perry County;NA;NA;USA;USA.36_1;USA.36.65_1;NA;NA
United States;USA840;Ohio;NA;NA;Stark County;NA;NA;USA;USA.36_1;USA.36.77_1;NA;NA
United States;USA840;Ohio;NA;NA;Tuscarawas County;NA;NA;USA;USA.36_1;USA.36.80_1;NA;NA
United States;USA840;Ohio;NA;NA;NA;NA;Cumberland;USA;NA;NA;NA;NA
United States;USA840;Virgina;NA;NA;Buchanan;NA;Rowe;USA;NA;NA;NA;NA
United States;USA840;Virgina;NA;NA;Buchanan;NA;NA;USA;USA.47_1;USA.47.17_1;NA;NA
United States;USA840;Virgina;NA;NA;Buchanan ;NA;Rowe;USA;USA.47_1;USA.47.17_1;NA;NA
United States;USA840;Virgina;NA;NA;Dickenson;NA;NA;USA;USA.47_1;USA.47.36_1;NA;NA
United States;USA840;Virgina;NA;NA;Tazewell;NA;NA;USA;USA.47_1;USA.47.123_1;NA;NA
United States;USA840;Virgina;NA;NA;NA;NA;Rowe;USA;NA;NA;NA;NA
United States;USA840;West Virgina;NA;NA;Logan County;NA;NA;USA;USA.49_1;USA.49.23_1;NA;NA
United States;USA840;West Virgina;NA;NA;McDowell;NA;NA;USA;USA.49_1;USA.49.27_1;NA;NA
United States;USA840;West Virgina;NA;NA;Mingo County;NA;NA;USA;USA.49_1;USA.49.30_1;NA;NA
United States;USA840;West Virgina;NA;NA;Mingo County;NA;NA;USA;USA.49_1;USA.49.30_1;NA;NA
United States;USA840;West Virgina;NA;NA;Raleigh;NA;NA;USA;USA.49_1;USA.49.41_1;NA;NA
United States;USA840;West Virgina;NA;NA;Randolph;NA;NA;USA;USA.49_1;USA.49.42_1;NA;NA
United States;USA840;West Virgina;NA;NA;Upshur;NA;NA;USA;USA.49_1;USA.49.49_1;NA;NA
United States;USA840;West Virginia;NA;NA;Ohio;NA;West Liberty;USA;USA.49_1;USA.49.35_1;NA;NA
United States;USA840;West Virginia;NA;NA;NA;NA;West Liberty;USA;NA;NA;NA;NA
United States;USA840;Wyoming;NA;NA;Carbon County;NA;NA;USA;USA.51_1;USA.51.4_1;NA;NA
United States;USA840;NA;NA;NA;Harrison county;NA;Cadiz;USA;NA;NA;NA;NA
United States;USA840;NA;NA;NA;Mingo County;NA;NA;USA;NA;NA;NA;NA
