id,facility_id,facility_type,year,input,input_value_tonnes,output,output_value_tonnes,grade_ppm,recovery_rate,amount_sold_tonnes,metal_payable_tonnes,incl_purchased,reporting_period,source_id,comment
217,COM00062.00,Smelter,2014,,,Crude steel,1000000,,,,,,,det_1674,
218,COM00062.00,Smelter,2015,,,Crude steel,1000000,,,,,,,det_1673,
219,COM00062.00,Smelter,2016,,,Crude steel,1000000,,,,,,,det_1672,
220,COM00062.00,Smelter,2017,,,Crude steel,1000000,,,,,,,det_1671,
221,COM00062.00,Smelter,2018,,,Crude steel,900000,,,,,,,det_1670,
222,COM00062.00,Smelter,2019,,,Crude steel,900000,,,,,,,det_1606,
223,COM00063.00,Smelter,2008,,,Crude steel,6100000,,,,,,,det_1679,
224,COM00063.00,Smelter,2009,,,Crude steel,5300000,,,,,,,det_1678,
225,COM00063.00,Smelter,2010,,,Crude steel,6000000,,,,,,,det_1677,
226,COM00063.00,Smelter,2011,,,Crude steel,5400000,,,,,,,det_1676,
227,COM00063.00,Smelter,2012,,,Crude steel,4400000,,,,,,,det_1675,
228,COM00063.00,Smelter,2013,,,Crude steel,4500000,,,,,,,det_1607,
229,COM00063.00,Smelter,2014,,,Crude steel,5400000,,,,,,,det_1674,
230,COM00063.00,Smelter,2015,,,Crude steel,6800000,,,,,,,det_1673,
231,COM00063.00,Smelter,2016,,,Crude steel,7000000,,,,,,,det_1672,
232,COM00063.00,Smelter,2017,,,Crude steel,7200000,,,,,,,det_1671,
233,COM00063.00,Smelter,2018,,,Crude steel,7000000,,,,,,,det_1670,
234,COM00063.00,Smelter,2019,,,Crude steel,6300000,,,,,,,det_1606,
235,COM00064.00,Smelter,2008,,,Crude steel,500000,,,,,,,det_1679,
236,COM00064.00,Smelter,2009,,,Crude steel,400000,,,,,,,det_1678,
237,COM00064.00,Smelter,2010,,,Crude steel,500000,,,,,,,det_1677,
238,COM00064.00,Smelter,2011,,,Crude steel,500000,,,,,,,det_1676,
239,COM00064.00,Smelter,2012,,,Crude steel,570000,,,,,,,det_1675,
240,COM00064.00,Smelter,2013,,,Crude steel,600000,,,,,,,det_1607,
241,COM00064.00,Smelter,2014,,,Crude steel,600000,,,,,,,det_1674,
242,COM00064.00,Smelter,2015,,,Crude steel,500000,,,,,,,det_1673,
243,COM00064.00,Smelter,2016,,,Crude steel,600000,,,,,,,det_1672,
244,COM00064.00,Smelter,2017,,,Crude steel,600000,,,,,,,det_1671,
245,COM00064.00,Smelter,2018,,,Crude steel,600000,,,,,,,det_1670,
246,COM00064.00,Smelter,2019,,,Crude steel,600000,,,,,,,det_1606,
247,COM00070.00,Smelter,2008,,,Aluminium,172000,,,,,,,det_1325,
248,COM00070.00,Smelter,2009,,,Aluminium,171000,,,,,,,det_1325,
249,COM00070.00,Smelter,2010,,,Aluminium,174000,,,,,,,det_1326,
250,COM00070.00,Smelter,2011,,,Aluminium,176000,,,,,,,det_1077,
251,COM00070.00,Smelter,2012,,,Aluminium,177000,,,,,,,det_1077,
252,COM00070.00,Smelter,2013,,,Aluminium,175000,,,,,,,det_1075,
253,COM00070.00,Smelter,2014,,,Aluminium,173000,,,,,,,det_1075,
254,COM00070.00,Smelter,2015,,,Aluminium,173000,,,,,,,det_1075,
255,COM00070.00,Smelter,2016,,,Aluminium,172000,,,,,,,det_1074,
256,COM00070.00,Smelter,2017,,,Aluminium,171000,,,,,,,det_1074,
257,COM00070.00,Smelter,2018,,,Aluminium,173000,,,,,,,det_1074,
258,COM00070.01,Smelter,2013,,,Aluminium,9000,,,,,,,det_1075,
259,COM00070.01,Smelter,2014,,,Aluminium,59000,,,,,,,det_1075,
